Year,EducationType,EducationCount
2011,Bachelor Degree,465191226.0
2011,Grad Degree,279380574.0
2011,HS Grad,608236452.0
2011,Less Than HS,329530662.0
2011,Some College/Associates Degree,667308276.0
2012,Bachelor Degree,481184604.0
2012,Grad Degree,291440178.0
2012,HS Grad,619081236.0
2012,Less Than HS,331110972.0
2012,Some College/Associates Degree,693495000.0
2013,Bachelor Degree,500117886.0
2013,Grad Degree,305753310.0
2013,HS Grad,640265634.0
2013,Less Than HS,336697992.0
2013,Some College/Associates Degree,717726474.0
2014,Bachelor Degree,528576336.0
2014,Grad Degree,325161882.0
2014,HS Grad,671127264.0
2014,Less Than HS,344417724.0
2014,Some College/Associates Degree,753488442.0
2015,Bachelor Degree,548063172.0
2015,Grad Degree,339093252.0
2015,HS Grad,687614760.0
2015,Less Than HS,347693670.0
2015,Some College/Associates Degree,774146250.0
2016,Bachelor Degree,574674030.0
2016,Grad Degree,358390998.0
2016,HS Grad,705106746.0
2016,Less Than HS,346901508.0
2016,Some College/Associates Degree,799274574.0
2017,Bachelor Degree,590141394.0
2017,Grad Degree,370816128.0
2017,HS Grad,705861954.0
2017,Less Than HS,342965322.0
2017,Some College/Associates Degree,805233690.0
